title,category,price,sale_price,sku,availability,options,image_urls,product_url
Maxtrix Full Medium Basic Bed,Bunk Beds,,"$1,097.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/584.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/583.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/586.jpg,https://bedsmart.ca/product/2040-maxtrix-full-medium-basic-bed/
Maxtrix Full High Basic Bed,Bunk Beds,,"$1,203.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/589.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/587.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/588.jpg,https://bedsmart.ca/product/2060-maxtrix-full-high-basic-bed-solid-wood/
Maxtrix Full Platform Bed,Bunk Beds,,$765.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2016/11/2075_20001__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20001__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20001__2_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20002__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20002__2_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20002__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20003__1_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20003__2_900x.webp|https://bedsmart.ca/wp-content/uploads/2016/11/2075_20003__3_900x.webp|https://bedsmart.ca/wp-content/uploads/2022/06/802.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/803.jpg,https://bedsmart.ca/product/2075-maxtrix-full-platform-bed-solid-wood/
Maxtrix Espresso Long Bed Side Tray,Bunk Beds,,$106.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/531.jpg,https://bedsmart.ca/product/2105-maxtrix-espresso-long-bed-side-tray/
Solid Wood Maxtrix Student Desk,Bunk Beds,,$750.00,,In stock (can be backordered),,https://bedsmart.ca/wp-content/uploads/2022/06/2425-solid-wood-maxtrix-student-desk.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/832.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/833.jpg,https://bedsmart.ca/product/2425-solid-wood-maxtrix-student-desk/
251X-002 Solid Wood Kids White Chair | Kids Study Chair,Bunk Beds,,$158.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/251x-002-solid-wood-kids-white-chair.jpg,https://bedsmart.ca/product/251x-002-solid-wood-kids-white-chair-study-chair/
2610 Maxtrix XL Long Desk,Bunk Beds,,$390.00,,,attribute_pa_finish=Espresso/Natural/White,https://bedsmart.ca/wp-content/uploads/2022/06/604.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/605.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/606.jpg,https://bedsmart.ca/product/2615-maxtrix-xl-long-desk-with-leg/
Max & Lily 3 Drawer Dresser,Bunk Beds,,$794.00,,,attribute_pa_finish=Espresso/Grey/White/Blue,https://bedsmart.ca/wp-content/uploads/2022/06/2887.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1401.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2935.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2936.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2892.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2893.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/solid-wood-max-and-lily-3-drawer-dresser-in-grey-finish.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1404.jpg,https://bedsmart.ca/product/3-drawer-dresser-with-crown/
3 Drawer Maxtrix Dresser In Chestnut,Bunk Beds,,$924.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2018/01/3-drawer-dresser-white.png|https://bedsmart.ca/wp-content/uploads/2018/01/3-drawer-dresser-natural-with-crown.png|https://bedsmart.ca/wp-content/uploads/2022/11/big-3-3-drawer-maxtrix-dresser-in-chestnut.webp|https://bedsmart.ca/wp-content/uploads/2018/01/3-drawer-nightstand-natural-drawer-detail.png|https://bedsmart.ca/wp-content/uploads/2018/01/drawer-detail.png,https://bedsmart.ca/product/3-drawer-maxtrix-dresser-in-chestnut/
3 Shelf Maxtrix Bookcase In Natural,Bunk Beds,,$415.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1446.jpg,https://bedsmart.ca/product/3-shelf-maxtrix-bookcase-in-natural/
